Port,Signal-Level,Activity-Percent
1.sta01000,0,0.817535
1.sta01001,0,0.81753504
1.sta01002,0,0.8013963
1.sta01003,0,0.80139625
1.sta01004,0,0.80139625
1.sta01005,0,0.8381818
1.sta01006,0,0.8175351
1.sta01007,0,0.817535
