Port,TX-Link-Speed,RX-Link-Speed
1.sta01000,0,0
1.sta01001,0,0
1.sta01002,0,0
1.sta01003,0,0
1.sta01004,0,0
1.sta01005,0,0
1.sta01006,0,0
1.sta01007,0,0
