"TX Completion vs LANforge RSSI",
"RSSI","ch36-TCP-DUT-TX-4NSS-20Mhz-802.11an-AC-MTU/TX Completion %",
-100,100,
-96,100,
-89,100,
-84,100,
-78,100,
-75,100,
-69,100,
-63,100,
-58,100,
-53,100,
-47,100,
-41,100,
-40,100,
