"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2021-06-15T05:56:00.548 UTC",0,"2021-06-15T05:56:00.548 UTC",0,"2021-06-15T05:56:00.548 UTC",0,
"2021-06-15T05:56:01.565 UTC",0,"2021-06-15T05:56:01.565 UTC",0,"2021-06-15T05:56:01.565 UTC",0,
"2021-06-15T05:56:02.574 UTC",0,"2021-06-15T05:56:02.574 UTC",0,"2021-06-15T05:56:02.574 UTC",0,
"2021-06-15T05:56:03.583 UTC",0,"2021-06-15T05:56:03.583 UTC",0,"2021-06-15T05:56:03.583 UTC",0,
"2021-06-15T05:56:04.592 UTC",0,"2021-06-15T05:56:04.592 UTC",0,"2021-06-15T05:56:04.592 UTC",0,
"2021-06-15T05:56:05.602 UTC",0,"2021-06-15T05:56:05.602 UTC",0,"2021-06-15T05:56:05.602 UTC",0,
"2021-06-15T05:56:06.611 UTC",0,"2021-06-15T05:56:06.611 UTC",0,"2021-06-15T05:56:06.611 UTC",0,
"2021-06-15T05:56:07.621 UTC",0,"2021-06-15T05:56:07.621 UTC",0,"2021-06-15T05:56:07.621 UTC",0,
"2021-06-15T05:56:08.631 UTC",0,"2021-06-15T05:56:08.631 UTC",0,"2021-06-15T05:56:08.631 UTC",0,
"2021-06-15T05:56:09.640 UTC",0,"2021-06-15T05:56:09.640 UTC",0,"2021-06-15T05:56:09.640 UTC",0,
"2021-06-15T05:56:10.649 UTC",0,"2021-06-15T05:56:10.649 UTC",0,"2021-06-15T05:56:10.649 UTC",0,
"2021-06-15T05:56:11.668 UTC",0,"2021-06-15T05:56:11.668 UTC",0,"2021-06-15T05:56:11.668 UTC",0,
