"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2022-02-15T13:51:35.819 UTC",0,"2022-02-15T13:51:35.819 UTC",0,"2022-02-15T13:51:35.819 UTC",0,
"2022-02-15T13:51:36.827 UTC",0,"2022-02-15T13:51:36.827 UTC",0,"2022-02-15T13:51:36.827 UTC",0,
"2022-02-15T13:51:37.832 UTC",0,"2022-02-15T13:51:37.832 UTC",0,"2022-02-15T13:51:37.832 UTC",0,
"2022-02-15T13:51:38.836 UTC",0,"2022-02-15T13:51:38.836 UTC",0,"2022-02-15T13:51:38.836 UTC",0,
"2022-02-15T13:51:39.841 UTC",0,"2022-02-15T13:51:39.841 UTC",0,"2022-02-15T13:51:39.841 UTC",0,
"2022-02-15T13:51:40.846 UTC",0,"2022-02-15T13:51:40.846 UTC",0,"2022-02-15T13:51:40.846 UTC",0,
"2022-02-15T13:51:41.850 UTC",0,"2022-02-15T13:51:41.850 UTC",0,"2022-02-15T13:51:41.850 UTC",0,
"2022-02-15T13:51:42.856 UTC",0,"2022-02-15T13:51:42.856 UTC",0,"2022-02-15T13:51:42.856 UTC",0,
"2022-02-15T13:51:43.861 UTC",0,"2022-02-15T13:51:43.861 UTC",0,"2022-02-15T13:51:43.861 UTC",0,
"2022-02-15T13:51:44.867 UTC",0,"2022-02-15T13:51:44.867 UTC",0,"2022-02-15T13:51:44.867 UTC",0,
"2022-02-15T13:51:45.872 UTC",0,"2022-02-15T13:51:45.872 UTC",0,"2022-02-15T13:51:45.872 UTC",0,
"2022-02-15T13:51:46.878 UTC",0,"2022-02-15T13:51:46.878 UTC",0,"2022-02-15T13:51:46.878 UTC",0,
"2022-02-15T13:51:47.883 UTC",0,"2022-02-15T13:51:47.883 UTC",0,"2022-02-15T13:51:47.883 UTC",0,
"2022-02-15T13:51:48.889 UTC",0,"2022-02-15T13:51:48.889 UTC",0,"2022-02-15T13:51:48.889 UTC",0,
"2022-02-15T13:51:49.896 UTC",0,"2022-02-15T13:51:49.896 UTC",0,"2022-02-15T13:51:49.896 UTC",0,
"2022-02-15T13:51:50.902 UTC",0,"2022-02-15T13:51:50.902 UTC",0,"2022-02-15T13:51:50.902 UTC",0,
"2022-02-15T13:51:51.906 UTC",0,"2022-02-15T13:51:51.906 UTC",0,"2022-02-15T13:51:51.906 UTC",0,
