Port,Signal-Level,Activity-Percent
1.sta01000,-40,52.315105
1.sta01001,-40,52.315105
1.sta01002,-40,52.315105
1.sta01003,-40,52.315098
1.sta01004,-39,52.315098
1.sta01005,-40,52.315098
1.sta01006,-40,52.315098
1.sta01007,-39,52.315098
