Port,Type,Value
sta01000,UDP-Download,7.983
sta01000,UDP-Upload,0
sta01000,total,7.983
sta01001,UDP-Download,7.956
sta01001,UDP-Upload,0
sta01001,total,7.956
sta01002,UDP-Download,7.987
sta01002,UDP-Upload,0
sta01002,total,7.987
sta01003,UDP-Download,7.975
sta01003,UDP-Upload,0
sta01003,total,7.975
sta01004,UDP-Download,7.967
sta01004,UDP-Upload,0
sta01004,total,7.967
sta01005,UDP-Download,7.974
sta01005,UDP-Upload,0
sta01005,total,7.974
sta01006,UDP-Download,7.931
sta01006,UDP-Upload,0
sta01006,total,7.931
sta01007,UDP-Download,7.93
sta01007,UDP-Upload,0
sta01007,total,7.93
