Port,TX-Link-Speed,RX-Link-Speed
1.sta01000,6,260
1.sta01001,6,234
1.sta01002,6,260
1.sta01003,6,260
1.sta01004,6,216.7
1.sta01005,6,260
1.sta01006,65,260
1.sta01007,57.8,216.7
