"Throughput vs LANforge RSSI",
"RSSI","ch6-TCP-DUT-TX-1NSS-20Mhz-802.11b-MTU/Throughput Mbps",
-84,0.08113,
-83,0.05702,
-83,0.05646,
-81,0.28708,
-81,0.12476,
-80,0.17977,
-79,6.08142,
-79,4.43679,
-77,6.03005,
-72,3.79051,
-67,6.16704,
-62,4.19299,
-58,4.29329,
-54,4.31578,
-48,4.43009,
-42,4.38443,
-39,4.26501,
-37,4.46462,
-32,4.64407,
