Date	test-rig	dut-hw-version	dut-sw-version	dut-model-num	dut-serial-num	test-priority	test-id	short-description	pass/fail	numeric-score	test details	Units	Graph-Group	Subtest-Pass	Subtest-Fail
1625841667963		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-0atten		4.674583	Throughput at specified settings.	Mbps	Throughput	0	0
1625841747410		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-50atten		3.508323	Throughput at specified settings.	Mbps	Throughput	0	0
1625841824937		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-100atten		3.350651	Throughput at specified settings.	Mbps	Throughput	0	0
1625841898358		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-150atten		3.636085	Throughput at specified settings.	Mbps	Throughput	0	0
1625841975898		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-200atten		3.47904	Throughput at specified settings.	Mbps	Throughput	0	0
1625842053355		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-250atten		3.389258	Throughput at specified settings.	Mbps	Throughput	0	0
1625842130891		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-300atten		3.367615	Throughput at specified settings.	Mbps	Throughput	0	0
1625842208342		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-350atten		3.29211	Throughput at specified settings.	Mbps	Throughput	0	0
1625842283764		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-400atten		5.119831	Throughput at specified settings.	Mbps	Throughput	0	0
1625842347221		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-450atten		3.655836	Throughput at specified settings.	Mbps	Throughput	0	0
1625842413793		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-500atten		6.024441	Throughput at specified settings.	Mbps	Throughput	0	0
1625842480325		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-550atten		6.07573	Throughput at specified settings.	Mbps	Throughput	0	0
1625842546872		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-600atten		4.439862	Throughput at specified settings.	Mbps	Throughput	0	0
1625842704457		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-650atten		0.304906	Throughput at specified settings.	Mbps	Throughput	0	0
1625842773004		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-700atten		0.185132	Throughput at specified settings.	Mbps	Throughput	0	0
1625842839574		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-750atten		0.08092	Throughput at specified settings.	Mbps	Throughput	0	0
1625842924035		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-800atten		0.063856	Throughput at specified settings.	Mbps	Throughput	0	0
1625843010542		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-850atten		0.056921	Throughput at specified settings.	Mbps	Throughput	0	0
1625843087644		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-900atten		0.12594	Throughput at specified settings.	Mbps	Throughput	0	0
1625843154187		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-950atten		0.086771	Throughput at specified settings.	Mbps	Throughput	0	0
