Port,Type,Value
sta01000,UDP-Download,60.162
sta01000,UDP-Upload,0
sta01000,total,60.162
sta01001,UDP-Download,59.903
sta01001,UDP-Upload,0
sta01001,total,59.903
sta01002,UDP-Download,59.966
sta01002,UDP-Upload,0
sta01002,total,59.966
sta01003,UDP-Download,59.988
sta01003,UDP-Upload,0
sta01003,total,59.988
sta01004,UDP-Download,60.242
sta01004,UDP-Upload,0
sta01004,total,60.242
sta01005,UDP-Download,59.983
sta01005,UDP-Upload,0
sta01005,total,59.983
sta01006,UDP-Download,60.218
sta01006,UDP-Upload,0
sta01006,total,60.218
sta01007,UDP-Download,59.793
sta01007,UDP-Upload,0
sta01007,total,59.793
