Port,Signal-Level,Activity-Percent
1.sta01000,-42,44.406708
1.sta01001,-42,44.464695
1.sta01002,-42,45.112453
1.sta01003,-42,45.127705
1.sta01004,-42,44.46824
1.sta01005,-42,44.468243
1.sta01006,-42,44.468243
1.sta01007,-42,44.468243
