Port,TX-Link-Speed,RX-Link-Speed
1.sta01000,6,346.7
1.sta01001,6,346.7
1.sta01002,6,346.7
1.sta01003,6,346.7
1.sta01004,6,346.7
1.sta01005,6,346.7
1.sta01006,57.8,346.7
1.sta01007,6,346.7
