Port,Type,Value
sta01000,UDP-Download,119.656
sta01000,UDP-Upload,0
sta01000,total,119.656
sta01001,UDP-Download,120.451
sta01001,UDP-Upload,0
sta01001,total,120.451
sta01002,UDP-Download,120.226
sta01002,UDP-Upload,0
sta01002,total,120.226
sta01003,UDP-Download,119.759
sta01003,UDP-Upload,0
sta01003,total,119.759
sta01004,UDP-Download,120.245
sta01004,UDP-Upload,0
sta01004,total,120.245
sta01005,UDP-Download,119.905
sta01005,UDP-Upload,0
sta01005,total,119.905
sta01006,UDP-Download,119.69
sta01006,UDP-Upload,0
sta01006,total,119.69
sta01007,UDP-Download,119.693
sta01007,UDP-Upload,0
sta01007,total,119.693
