Port,Signal-Level,Activity-Percent
1.sta01000,-65,51.271038
1.sta01001,-64,51.271038
1.sta01002,-64,51.271038
1.sta01003,-64,51.271038
1.sta01004,-64,51.271038
1.sta01005,-64,51.271038
1.sta01006,-64,51.271038
1.sta01007,-64,51.271038
