"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UDP DL/RX (Mbps)",
"2022-02-17T09:42:25.036 UTC",0,"2022-02-17T09:42:25.036 UTC",0,"2022-02-17T09:42:43.359 UTC",62.35517,
"2022-02-17T09:42:26.041 UTC",0,"2022-02-17T09:42:26.041 UTC",0,"2022-02-17T09:42:44.367 UTC",60.1944,
"2022-02-17T09:42:27.046 UTC",0,"2022-02-17T09:42:27.046 UTC",0,"2022-02-17T09:42:45.374 UTC",60.17434,
"2022-02-17T09:42:28.054 UTC",0,"2022-02-17T09:42:28.054 UTC",0,"2022-02-17T09:42:46.379 UTC",60.22933,
"2022-02-17T09:42:29.059 UTC",0,"2022-02-17T09:42:29.059 UTC",0,"2022-02-17T09:42:47.385 UTC",61.14525,
"2022-02-17T09:42:30.065 UTC",0,"2022-02-17T09:42:30.065 UTC",0,"2022-02-17T09:42:48.392 UTC",61.61122,
"2022-02-17T09:42:31.070 UTC",0,"2022-02-17T09:42:31.070 UTC",0,"2022-02-17T09:42:49.399 UTC",62.05514,
"2022-02-17T09:42:32.075 UTC",0,"2022-02-17T09:42:32.075 UTC",0,"2022-02-17T09:42:50.406 UTC",62.12709,
"2022-02-17T09:42:33.080 UTC",0,"2022-02-17T09:42:33.080 UTC",0,"2022-02-17T09:42:51.412 UTC",63.3832,
"2022-02-17T09:42:34.085 UTC",0,"2022-02-17T09:42:34.085 UTC",0,"2022-02-17T09:42:52.419 UTC",63.62217,
"2022-02-17T09:42:35.092 UTC",0,"2022-02-17T09:42:35.092 UTC",0,"2022-02-17T09:42:53.425 UTC",64.40297,
"2022-02-17T09:42:36.098 UTC",0,"2022-02-17T09:42:36.098 UTC",0,"2022-02-17T09:42:54.432 UTC",63.97912,
"2022-02-17T09:42:37.106 UTC",0,"2022-02-17T09:42:37.106 UTC",0,"2022-02-17T09:42:55.439 UTC",63.77094,
"2022-02-17T09:42:38.328 UTC",0,"2022-02-17T09:42:38.328 UTC",0,"2022-02-17T09:42:56.446 UTC",63.76654,
"2022-02-17T09:42:39.336 UTC",0,"2022-02-17T09:42:39.336 UTC",0,"2022-02-17T09:42:57.451 UTC",63.78677,
"2022-02-17T09:42:40.342 UTC",0,"2022-02-17T09:42:40.342 UTC",0,"2022-02-17T09:42:58.457 UTC",63.78002,
"2022-02-17T09:42:41.349 UTC",0,"2022-02-17T09:42:41.349 UTC",0,"2022-02-17T09:42:59.463 UTC",63.59402,
"2022-02-17T09:42:42.355 UTC",0,"2022-02-17T09:42:42.355 UTC",0,"2022-02-17T09:43:00.470 UTC",63.83002,
"2022-02-17T09:42:43.359 UTC",0,"2022-02-17T09:42:43.359 UTC",62.35517,"2022-02-17T09:43:01.476 UTC",63.80983,
"2022-02-17T09:42:44.367 UTC",0,"2022-02-17T09:42:44.367 UTC",60.1944,"2022-02-17T09:43:02.483 UTC",63.80041,
