"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,-65,0,51.0955,
1,-66,1,50.30261,
2,-65,2,50.3026,
3,-65,3,51.0955,
4,-65,4,51.0955,
5,-66,5,51.0955,
6,-65,6,51.0955,
7,-65,7,51.0955,
