"Link Rate for Stations",
"Station","RX Link Rate (Mbps)/Values","Station","TX Link Rate (Mbps)/Values",
0,288.9,0,6,
1,289,1,115.6,
2,288.9,2,28.9,
3,288.9,3,57.8,
4,288.9,4,86.7,
5,289,5,130,
6,288.9,6,86.7,
7,288.9,7,78,
