Date	test-rig	dut-hw-version	dut-sw-version	dut-model-num	dut-serial-num	test-priority	test-id	short-description	pass/fail	numeric-score	test details	Units	Graph-Group	Subtest-Pass	Subtest-Fail
1625847264191		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-0atten		144.119342	Throughput at specified settings.	Mbps	Throughput	0	0
1625847325637		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-50atten		155.160745	Throughput at specified settings.	Mbps	Throughput	0	0
1625847387056		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-100atten		155.497246	Throughput at specified settings.	Mbps	Throughput	0	0
1625847448564		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-150atten		175.701977	Throughput at specified settings.	Mbps	Throughput	0	0
1625847510038		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-200atten		177.496531	Throughput at specified settings.	Mbps	Throughput	0	0
1625847571486		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-250atten		176.171036	Throughput at specified settings.	Mbps	Throughput	0	0
1625847632932		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-300atten		176.20034	Throughput at specified settings.	Mbps	Throughput	0	0
1625847696378		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-350atten		173.689098	Throughput at specified settings.	Mbps	Throughput	0	0
1625847757848		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-400atten		148.506779	Throughput at specified settings.	Mbps	Throughput	0	0
1625847819343		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-450atten		112.947468	Throughput at specified settings.	Mbps	Throughput	0	0
1625847885939		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-500atten		97.728119	Throughput at specified settings.	Mbps	Throughput	0	0
1625847952514		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-550atten		67.752072	Throughput at specified settings.	Mbps	Throughput	0	0
1625848019091		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-600atten		62.609872	Throughput at specified settings.	Mbps	Throughput	0	0
1625848085687		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-650atten		49.781877	Throughput at specified settings.	Mbps	Throughput	0	0
1625848152229		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-700atten		49.014866	Throughput at specified settings.	Mbps	Throughput	0	0
1625848220867		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-750atten		48.582385	Throughput at specified settings.	Mbps	Throughput	0	0
1625848289389		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-800atten		48.504396	Throughput at specified settings.	Mbps	Throughput	0	0
1625848355965		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-850atten		50.70568	Throughput at specified settings.	Mbps	Throughput	0	0
1625848422561		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-900atten		49.21354	Throughput at specified settings.	Mbps	Throughput	0	0
1625848491103		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-950atten		48.984085	Throughput at specified settings.	Mbps	Throughput	0	0
