"RX Pps vs Packet Size",
"60","142","256","512","1024","MTU","4000",
280.21332,214.69668,118.66454,60.22971,33.3391,22.06919,6.55929
130.96591,138.8848,105.88154,61.55995,31.92227,21.00219,0.33512
,,82.82068,66.77329,45.7381,24.3807,19.39982,18.20168
,,122.42197,101.07151,55.04251,27.93739,25.93238,26.36644
