"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,-65,0,51.27104,
1,-64,1,51.27104,
2,-64,2,51.27104,
3,-64,3,51.27104,
4,-64,4,51.27104,
5,-64,5,51.27104,
6,-64,6,51.27104,
7,-64,7,51.27104,
