"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UDP DL/RX (Mbps)",
"2022-02-17T07:31:42.175 UTC",0,"2022-02-17T07:31:42.175 UTC",0,"2022-02-17T07:32:05.293 UTC",60.59646,
"2022-02-17T07:31:43.181 UTC",0,"2022-02-17T07:31:43.181 UTC",0,"2022-02-17T07:32:06.301 UTC",61.79962,
"2022-02-17T07:31:44.186 UTC",0,"2022-02-17T07:31:44.186 UTC",0,"2022-02-17T07:32:07.309 UTC",62.05338,
"2022-02-17T07:31:45.190 UTC",0,"2022-02-17T07:31:45.190 UTC",0,"2022-02-17T07:32:08.316 UTC",63.29255,
"2022-02-17T07:31:46.195 UTC",0,"2022-02-17T07:31:46.195 UTC",0,"2022-02-17T07:32:09.324 UTC",63.4801,
"2022-02-17T07:31:47.199 UTC",0,"2022-02-17T07:31:47.199 UTC",0,"2022-02-17T07:32:10.330 UTC",64.05729,
"2022-02-17T07:31:48.204 UTC",0,"2022-02-17T07:31:48.204 UTC",0,"2022-02-17T07:32:11.337 UTC",63.64107,
"2022-02-17T07:31:49.209 UTC",0,"2022-02-17T07:31:49.209 UTC",0,"2022-02-17T07:32:12.345 UTC",63.40808,
"2022-02-17T07:31:50.215 UTC",0,"2022-02-17T07:31:50.215 UTC",0,"2022-02-17T07:32:13.352 UTC",63.41614,
"2022-02-17T07:31:51.220 UTC",0,"2022-02-17T07:31:51.220 UTC",0,"2022-02-17T07:32:14.358 UTC",63.50253,
"2022-02-17T07:31:52.226 UTC",0,"2022-02-17T07:31:52.226 UTC",0,"2022-02-17T07:32:15.364 UTC",63.73297,
"2022-02-17T07:31:53.231 UTC",0,"2022-02-17T07:31:53.231 UTC",0,"2022-02-17T07:32:16.371 UTC",63.73131,
"2022-02-17T07:31:54.235 UTC",0,"2022-02-17T07:31:54.235 UTC",0,"2022-02-17T07:32:17.378 UTC",63.72358,
"2022-02-17T07:31:55.240 UTC",0,"2022-02-17T07:31:55.240 UTC",0,"2022-02-17T07:32:18.385 UTC",63.71208,
"2022-02-17T07:31:56.246 UTC",0,"2022-02-17T07:31:56.246 UTC",0,"2022-02-17T07:32:19.394 UTC",62.94425,
"2022-02-17T07:31:57.250 UTC",0,"2022-02-17T07:31:57.250 UTC",0,"2022-02-17T07:32:20.401 UTC",63.75148,
"2022-02-17T07:31:58.254 UTC",0,"2022-02-17T07:31:58.254 UTC",0,"2022-02-17T07:32:21.409 UTC",63.92136,
