"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2021-07-08T11:27:41.938 UTC",0,"2021-07-08T11:27:41.938 UTC",0,"2021-07-08T11:27:41.938 UTC",0,
"2021-07-08T11:27:42.953 UTC",0,"2021-07-08T11:27:42.953 UTC",0,"2021-07-08T11:27:42.953 UTC",0,
"2021-07-08T11:27:43.961 UTC",0,"2021-07-08T11:27:43.961 UTC",0,"2021-07-08T11:27:43.961 UTC",0,
"2021-07-08T11:27:44.970 UTC",0,"2021-07-08T11:27:44.970 UTC",0,"2021-07-08T11:27:44.970 UTC",0,
"2021-07-08T11:27:45.979 UTC",0,"2021-07-08T11:27:45.979 UTC",0,"2021-07-08T11:27:45.979 UTC",0,
"2021-07-08T11:27:46.988 UTC",0,"2021-07-08T11:27:46.988 UTC",0,"2021-07-08T11:27:46.988 UTC",0,
"2021-07-08T11:27:47.997 UTC",0,"2021-07-08T11:27:47.997 UTC",0,"2021-07-08T11:27:47.997 UTC",0,
"2021-07-08T11:27:49.006 UTC",0,"2021-07-08T11:27:49.006 UTC",0,"2021-07-08T11:27:49.006 UTC",0,
"2021-07-08T11:27:50.015 UTC",0,"2021-07-08T11:27:50.015 UTC",0,"2021-07-08T11:27:50.015 UTC",0,
"2021-07-08T11:27:51.025 UTC",0,"2021-07-08T11:27:51.025 UTC",0,"2021-07-08T11:27:51.025 UTC",0,
"2021-07-08T11:27:52.034 UTC",0,"2021-07-08T11:27:52.034 UTC",0,"2021-07-08T11:27:52.034 UTC",0,
"2021-07-08T11:27:53.043 UTC",0,"2021-07-08T11:27:53.043 UTC",0,"2021-07-08T11:27:53.043 UTC",0,
"2021-07-08T11:27:54.053 UTC",0,"2021-07-08T11:27:54.053 UTC",0,"2021-07-08T11:27:54.053 UTC",0,
"2021-07-08T11:27:55.064 UTC",0,"2021-07-08T11:27:55.064 UTC",0,"2021-07-08T11:27:55.064 UTC",0,
"2021-07-08T11:27:56.073 UTC",0,"2021-07-08T11:27:56.073 UTC",133.69822,"2021-07-08T11:27:56.073 UTC",133.69822,
"2021-07-08T11:27:57.083 UTC",0,"2021-07-08T11:27:57.083 UTC",58.47598,"2021-07-08T11:27:57.083 UTC",58.47598,
