Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Duration,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,0,NA,60,146.82 Mbps,146.795 Mbps,146.776 Mbps,152.423 Mbps,156.154 Mbps,-40,0 / 783763,0,173.3 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,5.0,NA,60,155.599 Mbps,155.522 Mbps,155.6 Mbps,161.587 Mbps,157.29 Mbps,-41,0 / 810081,0,173.3 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,10.0,NA,60,155.333 Mbps,155.292 Mbps,155.393 Mbps,161.372 Mbps,156.205 Mbps,-47,0 / 790796,0,173.3 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,15.0,NA,60,153.961 Mbps,154.189 Mbps,154.178 Mbps,160.11 Mbps,152.549 Mbps,-53,0 / 797719,0,156 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,20.0,NA,60,155.415 Mbps,155.403 Mbps,155.456 Mbps,161.437 Mbps,143.558 Mbps,-58,0 / 808738,0,115.6 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,25.0,NA,60,155.833 Mbps,155.908 Mbps,155.948 Mbps,161.948 Mbps,155.529 Mbps,-63,0 / 804476,0,173.3 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,30.0,NA,60,154.917 Mbps,154.977 Mbps,154.968 Mbps,160.93 Mbps,156.495 Mbps,-69,0 / 830044,0,173.3 Mbps,192.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,35.0,NA,60,121.769 Mbps,121.911 Mbps,121.815 Mbps,126.499 Mbps,115.484 Mbps,-75,0 / 637088,0,144.4 Mbps,144.4 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,40.0,NA,60,109.862 Mbps,109.866 Mbps,109.898 Mbps,114.124 Mbps,115.673 Mbps,-78,0 / 575735,0,78 Mbps,144.4 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,45.0,NA,60,69.791 Mbps,68.046 Mbps,68.063 Mbps,70.681 Mbps,68.569 Mbps,-84,0 / 363446,0,115.6 Mbps,86.7 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,50.0,NA,60,34.615 Mbps,32.539 Mbps,33.212 Mbps,34.488 Mbps,32.443 Mbps,-89,0 / 187115,0,28.9 Mbps,43.3 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,55.0,NA,60,19.524 Mbps,16.286 Mbps,16.632 Mbps,17.264 Mbps,17.33 Mbps,-96,0 / 98741,0,28.9 Mbps,28.9 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,60.0,NA,60,10.237 Mbps,6.852 Mbps,7.317 Mbps,7.581 Mbps,22.397 Mbps,-100,0 / 54282,0,19.5 Mbps,13 Mbps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,65.0,NA,60,0 bps,0 bps,0 bps,0 bps,0 bps,0,0 / 38,0,0 Mbps,0 bps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,70.0,NA,60,0 bps,0 bps,0 bps,0 bps,0 bps,0,0 / 33,0,0 Mbps,0 bps,802.11an-AC,802.11ac
36,5180,WPA2,4,802.11an-AC,20,MTU,TCP,DUT-TX,75.0,NA,60,0 bps,0 bps,0 bps,0 bps,0 bps,0,0 / 31,0,0 Mbps,0 bps,802.11an-AC,802.11ac
