"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,-42,0,44.40671,
1,-42,1,44.46469,
2,-42,2,45.11245,
3,-42,3,45.1277,
4,-42,4,44.46824,
5,-42,5,44.46824,
6,-42,6,44.46824,
7,-42,7,44.46824,
