"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UDP DL/RX (Mbps)",
"2022-02-17T10:49:29.742 UTC",0,"2022-02-17T10:49:29.742 UTC",0,"2022-02-17T10:49:40.801 UTC",3.82274,
"2022-02-17T10:49:30.746 UTC",0,"2022-02-17T10:49:30.746 UTC",0,"2022-02-17T10:49:41.810 UTC",15.94858,
"2022-02-17T10:49:31.750 UTC",0,"2022-02-17T10:49:31.750 UTC",0,"2022-02-17T10:49:42.817 UTC",0,
"2022-02-17T10:49:32.755 UTC",0,"2022-02-17T10:49:32.755 UTC",0,"2022-02-17T10:49:43.823 UTC",31.24923,
"2022-02-17T10:49:33.761 UTC",0,"2022-02-17T10:49:33.761 UTC",0,"2022-02-17T10:49:44.829 UTC",31.81757,
"2022-02-17T10:49:34.765 UTC",0,"2022-02-17T10:49:34.765 UTC",0,"2022-02-17T10:49:45.834 UTC",31.82711,
"2022-02-17T10:49:35.769 UTC",0,"2022-02-17T10:49:35.769 UTC",0,"2022-02-17T10:49:46.841 UTC",31.83644,
"2022-02-17T10:49:36.775 UTC",0,"2022-02-17T10:49:36.775 UTC",0,"2022-02-17T10:49:47.848 UTC",31.83438,
"2022-02-17T10:49:37.781 UTC",0,"2022-02-17T10:49:37.781 UTC",0,"2022-02-17T10:49:48.856 UTC",31.8409,
"2022-02-17T10:49:38.787 UTC",0,"2022-02-17T10:49:38.787 UTC",0,"2022-02-17T10:49:49.864 UTC",31.84249,
"2022-02-17T10:49:39.794 UTC",0,"2022-02-17T10:49:39.794 UTC",0,"2022-02-17T10:49:50.871 UTC",31.84312,
"2022-02-17T10:49:40.801 UTC",0,"2022-02-17T10:49:40.801 UTC",3.82274,"2022-02-17T10:49:51.879 UTC",31.83752,
"2022-02-17T10:49:41.810 UTC",0,"2022-02-17T10:49:41.810 UTC",15.94858,"2022-02-17T10:49:52.885 UTC",31.84997,
"2022-02-17T10:49:42.817 UTC",0,"2022-02-17T10:49:42.817 UTC",0,"2022-02-17T10:49:53.892 UTC",31.86488,
