"Rx Errors",
Date,"cv_udp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.1-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-B/Errors",
NA,NA,NA,NA,"2021-07-08T13:11:55.353 UTC",0,"2021-07-08T13:11:55.353 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:56.364 UTC",0,"2021-07-08T13:11:56.364 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:57.376 UTC",0,"2021-07-08T13:11:57.376 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:58.387 UTC",0,"2021-07-08T13:11:58.387 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:59.398 UTC",0,"2021-07-08T13:11:59.398 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:00.409 UTC",0,"2021-07-08T13:12:00.409 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:01.421 UTC",0,"2021-07-08T13:12:01.421 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:02.432 UTC",0,"2021-07-08T13:12:02.432 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:03.443 UTC",0,"2021-07-08T13:12:03.443 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:04.454 UTC",0,"2021-07-08T13:12:04.454 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:05.465 UTC",0,"2021-07-08T13:12:05.465 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:06.476 UTC",0,"2021-07-08T13:12:06.476 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:07.487 UTC",0,"2021-07-08T13:12:07.487 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:08.498 UTC",0,"2021-07-08T13:12:08.498 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:09.508 UTC",0,"2021-07-08T13:12:09.508 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:10.519 UTC",0,"2021-07-08T13:12:10.519 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:11.533 UTC",0,"2021-07-08T13:12:11.533 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:12.544 UTC",0,"2021-07-08T13:12:12.544 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:13.555 UTC",0,"2021-07-08T13:12:13.555 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:14.567 UTC",0,"2021-07-08T13:12:14.567 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:15.577 UTC",0,"2021-07-08T13:12:15.577 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:16.588 UTC",0,"2021-07-08T13:12:16.588 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:17.598 UTC",0,"2021-07-08T13:12:17.598 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:18.610 UTC",0,"2021-07-08T13:12:18.610 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:19.620 UTC",0,"2021-07-08T13:12:19.620 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:20.631 UTC",0,"2021-07-08T13:12:20.631 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:21.642 UTC",0,"2021-07-08T13:12:21.642 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:22.654 UTC",0,"2021-07-08T13:12:22.654 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:23.664 UTC",0,"2021-07-08T13:12:23.664 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:24.675 UTC",0,"2021-07-08T13:12:24.675 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:25.686 UTC",0,"2021-07-08T13:12:25.686 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:26.698 UTC",0,"2021-07-08T13:12:26.698 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:27.710 UTC",0,"2021-07-08T13:12:27.710 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:28.722 UTC",0,"2021-07-08T13:12:28.722 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:29.734 UTC",0,"2021-07-08T13:12:29.734 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:30.745 UTC",0,"2021-07-08T13:12:30.745 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:31.756 UTC",0,"2021-07-08T13:12:31.756 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:32.768 UTC",0,"2021-07-08T13:12:32.768 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:33.778 UTC",0,"2021-07-08T13:12:33.778 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:34.790 UTC",0,"2021-07-08T13:12:34.790 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:35.801 UTC",0,"2021-07-08T13:12:35.801 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:36.813 UTC",0,"2021-07-08T13:12:36.813 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:37.824 UTC",0,"2021-07-08T13:12:37.824 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:38.836 UTC",0,"2021-07-08T13:12:38.836 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:39.848 UTC",0,"2021-07-08T13:12:39.848 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:40.859 UTC",0,"2021-07-08T13:12:40.859 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:41.872 UTC",0,"2021-07-08T13:12:41.872 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:42.884 UTC",0,"2021-07-08T13:12:42.884 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:43.896 UTC",0,"2021-07-08T13:12:43.896 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:44.908 UTC",0,"2021-07-08T13:12:44.908 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:45.920 UTC",0,"2021-07-08T13:12:45.920 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:46.932 UTC",0,"2021-07-08T13:12:46.932 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:47.944 UTC",0,"2021-07-08T13:12:47.944 UTC",0,
