"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",
"2022-02-17T06:49:57.774 UTC",0,"2022-02-17T06:49:57.774 UTC",0,
"2022-02-17T06:49:58.779 UTC",0,"2022-02-17T06:49:58.779 UTC",0,
"2022-02-17T06:49:59.785 UTC",0,"2022-02-17T06:49:59.785 UTC",0,
"2022-02-17T06:50:00.790 UTC",0,"2022-02-17T06:50:00.790 UTC",0,
"2022-02-17T06:50:01.797 UTC",0,"2022-02-17T06:50:01.797 UTC",0,
"2022-02-17T06:50:02.801 UTC",0,"2022-02-17T06:50:02.801 UTC",0,
"2022-02-17T06:50:03.805 UTC",0,"2022-02-17T06:50:03.805 UTC",0,
"2022-02-17T06:50:04.811 UTC",0,"2022-02-17T06:50:04.811 UTC",0,
"2022-02-17T06:50:05.818 UTC",0,"2022-02-17T06:50:05.818 UTC",0,
"2022-02-17T06:50:06.824 UTC",0,"2022-02-17T06:50:06.824 UTC",0,
"2022-02-17T06:50:07.828 UTC",0,"2022-02-17T06:50:07.828 UTC",0,
"2022-02-17T06:50:08.833 UTC",0,"2022-02-17T06:50:08.833 UTC",0,
"2022-02-17T06:50:09.838 UTC",0,"2022-02-17T06:50:09.838 UTC",0,
"2022-02-17T06:50:10.842 UTC",0,"2022-02-17T06:50:10.842 UTC",0,
"2022-02-17T06:50:11.846 UTC",0,"2022-02-17T06:50:11.846 UTC",0,
"2022-02-17T06:50:12.850 UTC",0,"2022-02-17T06:50:12.850 UTC",0,
"2022-02-17T06:50:13.854 UTC",0,"2022-02-17T06:50:13.854 UTC",0,
"2022-02-17T06:50:14.858 UTC",0,"2022-02-17T06:50:14.858 UTC",0,
"2022-02-17T06:50:15.862 UTC",0,"2022-02-17T06:50:15.862 UTC",0,
"2022-02-17T06:50:16.866 UTC",0,"2022-02-17T06:50:16.866 UTC",0,
"2022-02-17T06:50:17.870 UTC",0,"2022-02-17T06:50:17.870 UTC",0,
"2022-02-17T06:50:18.875 UTC",0,"2022-02-17T06:50:18.875 UTC",0,
"2022-02-17T06:50:19.880 UTC",0,"2022-02-17T06:50:19.880 UTC",0,
"2022-02-17T06:50:20.884 UTC",0,"2022-02-17T06:50:20.884 UTC",0,
"2022-02-17T06:50:21.888 UTC",0,"2022-02-17T06:50:21.888 UTC",0,
"2022-02-17T06:50:22.892 UTC",0,"2022-02-17T06:50:22.892 UTC",0,
"2022-02-17T06:50:23.896 UTC",0,"2022-02-17T06:50:23.896 UTC",0,
"2022-02-17T06:50:24.901 UTC",0,"2022-02-17T06:50:24.901 UTC",0,
"2022-02-17T06:50:25.906 UTC",0,"2022-02-17T06:50:25.906 UTC",0,
"2022-02-17T06:50:26.910 UTC",0,"2022-02-17T06:50:26.910 UTC",0,
"2022-02-17T06:50:27.915 UTC",0,"2022-02-17T06:50:27.915 UTC",0,
"2022-02-17T06:50:28.920 UTC",0,"2022-02-17T06:50:28.920 UTC",0,
"2022-02-17T06:50:29.925 UTC",0,"2022-02-17T06:50:29.925 UTC",0,
"2022-02-17T06:50:30.929 UTC",0,"2022-02-17T06:50:30.929 UTC",0,
"2022-02-17T06:50:31.933 UTC",0,"2022-02-17T06:50:31.933 UTC",0,
"2022-02-17T06:50:32.939 UTC",0,"2022-02-17T06:50:32.939 UTC",0,
"2022-02-17T06:50:33.944 UTC",0,"2022-02-17T06:50:33.944 UTC",0,
"2022-02-17T06:50:34.949 UTC",0,"2022-02-17T06:50:34.949 UTC",0,
