"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",
"2022-02-17T06:50:35.954 UTC",0,"2022-02-17T06:50:35.954 UTC",0,
"2022-02-17T06:50:36.959 UTC",0,"2022-02-17T06:50:36.959 UTC",0,
"2022-02-17T06:50:37.963 UTC",0,"2022-02-17T06:50:37.963 UTC",0,
"2022-02-17T06:50:38.968 UTC",0,"2022-02-17T06:50:38.968 UTC",0,
"2022-02-17T06:50:39.973 UTC",0,"2022-02-17T06:50:39.973 UTC",0,
"2022-02-17T06:50:40.978 UTC",0,"2022-02-17T06:50:40.978 UTC",0,
"2022-02-17T06:50:41.983 UTC",0,"2022-02-17T06:50:41.983 UTC",0,
"2022-02-17T06:50:42.987 UTC",0,"2022-02-17T06:50:42.987 UTC",0,
"2022-02-17T06:50:43.992 UTC",0,"2022-02-17T06:50:43.992 UTC",0,
"2022-02-17T06:50:44.996 UTC",0,"2022-02-17T06:50:44.996 UTC",0,
"2022-02-17T06:50:46.001 UTC",0,"2022-02-17T06:50:46.001 UTC",0,
"2022-02-17T06:50:47.007 UTC",0,"2022-02-17T06:50:47.007 UTC",0,
"2022-02-17T06:50:48.012 UTC",0,"2022-02-17T06:50:48.012 UTC",0,
"2022-02-17T06:50:49.017 UTC",0,"2022-02-17T06:50:49.017 UTC",0,
"2022-02-17T06:50:50.023 UTC",0,"2022-02-17T06:50:50.023 UTC",0,
"2022-02-17T06:50:51.028 UTC",0,"2022-02-17T06:50:51.028 UTC",0,
"2022-02-17T06:50:52.033 UTC",0,"2022-02-17T06:50:52.033 UTC",0,
"2022-02-17T06:50:53.039 UTC",0,"2022-02-17T06:50:53.039 UTC",0,
"2022-02-17T06:50:54.043 UTC",0,"2022-02-17T06:50:54.043 UTC",0,
"2022-02-17T06:50:55.048 UTC",0,"2022-02-17T06:50:55.048 UTC",0,
"2022-02-17T06:50:56.053 UTC",0,"2022-02-17T06:50:56.053 UTC",0,
"2022-02-17T06:50:57.058 UTC",0,"2022-02-17T06:50:57.058 UTC",0,
"2022-02-17T06:50:58.062 UTC",0,"2022-02-17T06:50:58.062 UTC",0,
"2022-02-17T06:50:59.067 UTC",0,"2022-02-17T06:50:59.067 UTC",0,
"2022-02-17T06:51:00.072 UTC",0,"2022-02-17T06:51:00.072 UTC",0,
"2022-02-17T06:51:01.077 UTC",0,"2022-02-17T06:51:01.077 UTC",0,
"2022-02-17T06:51:02.081 UTC",0,"2022-02-17T06:51:02.081 UTC",0,
"2022-02-17T06:51:03.086 UTC",0,"2022-02-17T06:51:03.086 UTC",0,
"2022-02-17T06:51:04.091 UTC",0,"2022-02-17T06:51:04.091 UTC",0,
"2022-02-17T06:51:05.095 UTC",0,"2022-02-17T06:51:05.095 UTC",0,
"2022-02-17T06:51:06.100 UTC",0,"2022-02-17T06:51:06.100 UTC",0,
"2022-02-17T06:51:07.105 UTC",0,"2022-02-17T06:51:07.105 UTC",0,
"2022-02-17T06:51:08.109 UTC",0,"2022-02-17T06:51:08.109 UTC",0,
"2022-02-17T06:51:09.113 UTC",0,"2022-02-17T06:51:09.113 UTC",0,
"2022-02-17T06:51:10.118 UTC",0,"2022-02-17T06:51:10.118 UTC",0,
"2022-02-17T06:51:11.123 UTC",0,"2022-02-17T06:51:11.123 UTC",0,
"2022-02-17T06:51:12.129 UTC",0,"2022-02-17T06:51:12.129 UTC",0,
"2022-02-17T06:51:13.134 UTC",0,"2022-02-17T06:51:13.134 UTC",0,
"2022-02-17T06:51:14.139 UTC",0,"2022-02-17T06:51:14.139 UTC",0,
"2022-02-17T06:51:15.144 UTC",0,"2022-02-17T06:51:15.144 UTC",0,
"2022-02-17T06:51:16.149 UTC",0,"2022-02-17T06:51:16.149 UTC",0,
"2022-02-17T06:51:17.153 UTC",0,"2022-02-17T06:51:17.153 UTC",0,
"2022-02-17T06:51:18.158 UTC",0,"2022-02-17T06:51:18.158 UTC",0,
"2022-02-17T06:51:19.163 UTC",0,"2022-02-17T06:51:19.163 UTC",0,
"2022-02-17T06:51:20.170 UTC",0,"2022-02-17T06:51:20.170 UTC",0,
"2022-02-17T06:51:21.175 UTC",0,"2022-02-17T06:51:21.175 UTC",0,
"2022-02-17T06:51:22.180 UTC",0,"2022-02-17T06:51:22.180 UTC",0,
"2022-02-17T06:51:23.184 UTC",0,"2022-02-17T06:51:23.184 UTC",0,
"2022-02-17T06:51:24.189 UTC",0,"2022-02-17T06:51:24.189 UTC",0,
"2022-02-17T06:51:25.196 UTC",0,"2022-02-17T06:51:25.196 UTC",0,
"2022-02-17T06:51:26.200 UTC",0,"2022-02-17T06:51:26.200 UTC",0,
"2022-02-17T06:51:27.205 UTC",0,"2022-02-17T06:51:27.205 UTC",0,
"2022-02-17T06:51:28.209 UTC",0,"2022-02-17T06:51:28.209 UTC",0,
"2022-02-17T06:51:29.214 UTC",0,"2022-02-17T06:51:29.214 UTC",0,
"2022-02-17T06:51:30.221 UTC",0,"2022-02-17T06:51:30.221 UTC",0,
"2022-02-17T06:51:31.226 UTC",0,"2022-02-17T06:51:31.226 UTC",0,
"2022-02-17T06:51:32.230 UTC",0,"2022-02-17T06:51:32.230 UTC",0,
"2022-02-17T06:51:33.235 UTC",0,"2022-02-17T06:51:33.235 UTC",0,
"2022-02-17T06:51:34.239 UTC",0,"2022-02-17T06:51:34.239 UTC",0,
"2022-02-17T06:51:35.245 UTC",0,"2022-02-17T06:51:35.245 UTC",0,
"2022-02-17T06:51:36.250 UTC",0,"2022-02-17T06:51:36.250 UTC",0,
"2022-02-17T06:51:37.254 UTC",0,"2022-02-17T06:51:37.254 UTC",0,
"2022-02-17T06:51:38.259 UTC",0,"2022-02-17T06:51:38.259 UTC",0,
"2022-02-17T06:51:39.264 UTC",0,"2022-02-17T06:51:39.264 UTC",0,
"2022-02-17T06:51:40.268 UTC",0,"2022-02-17T06:51:40.268 UTC",0,
"2022-02-17T06:51:41.273 UTC",0,"2022-02-17T06:51:41.273 UTC",0,
"2022-02-17T06:51:42.278 UTC",0,"2022-02-17T06:51:42.278 UTC",0,
"2022-02-17T06:51:43.282 UTC",0,"2022-02-17T06:51:43.282 UTC",0,
"2022-02-17T06:51:44.287 UTC",0,"2022-02-17T06:51:44.287 UTC",0,
"2022-02-17T06:51:45.293 UTC",0,"2022-02-17T06:51:45.293 UTC",0,
"2022-02-17T06:51:46.298 UTC",0,"2022-02-17T06:51:46.298 UTC",0,
"2022-02-17T06:51:47.303 UTC",0,"2022-02-17T06:51:47.303 UTC",0,
"2022-02-17T06:51:48.387 UTC",0,"2022-02-17T06:51:48.387 UTC",0,
"2022-02-17T06:51:49.395 UTC",0,"2022-02-17T06:51:49.395 UTC",0,
"2022-02-17T06:51:50.400 UTC",0,"2022-02-17T06:51:50.400 UTC",0,
"2022-02-17T06:51:51.405 UTC",0,"2022-02-17T06:51:51.405 UTC",0,
"2022-02-17T06:51:52.410 UTC",0,"2022-02-17T06:51:52.410 UTC",0,
"2022-02-17T06:51:53.415 UTC",0,"2022-02-17T06:51:53.415 UTC",0,
"2022-02-17T06:51:54.422 UTC",0,"2022-02-17T06:51:54.422 UTC",0,
"2022-02-17T06:51:55.428 UTC",0,"2022-02-17T06:51:55.428 UTC",0,
"2022-02-17T06:51:56.433 UTC",0,"2022-02-17T06:51:56.433 UTC",0,
"2022-02-17T06:51:57.438 UTC",0,"2022-02-17T06:51:57.438 UTC",0,
"2022-02-17T06:51:58.444 UTC",0,"2022-02-17T06:51:58.444 UTC",0,
"2022-02-17T06:51:59.450 UTC",0,"2022-02-17T06:51:59.450 UTC",0,
"2022-02-17T06:52:00.456 UTC",0,"2022-02-17T06:52:00.456 UTC",0,
"2022-02-17T06:52:01.462 UTC",0,"2022-02-17T06:52:01.462 UTC",0,
"2022-02-17T06:52:02.466 UTC",0,"2022-02-17T06:52:02.466 UTC",0,
"2022-02-17T06:52:03.521 UTC",0,"2022-02-17T06:52:03.521 UTC",0,
"2022-02-17T06:52:04.530 UTC",0,"2022-02-17T06:52:04.530 UTC",0,
"2022-02-17T06:52:05.535 UTC",0,"2022-02-17T06:52:05.535 UTC",0,
"2022-02-17T06:52:06.541 UTC",0,"2022-02-17T06:52:06.541 UTC",0,
"2022-02-17T06:52:07.545 UTC",0,"2022-02-17T06:52:07.545 UTC",0,
"2022-02-17T06:52:08.550 UTC",0,"2022-02-17T06:52:08.550 UTC",0,
"2022-02-17T06:52:09.557 UTC",0,"2022-02-17T06:52:09.557 UTC",0,
"2022-02-17T06:52:10.562 UTC",0,"2022-02-17T06:52:10.562 UTC",0,
"2022-02-17T06:52:11.566 UTC",0,"2022-02-17T06:52:11.566 UTC",0,
