"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,0,0,0.75095,
1,0,1,0.75095,
2,0,2,0.75095,
3,0,3,0.76468,
4,0,4,0.76468,
5,0,5,0.76468,
6,0,6,0.76468,
7,0,7,0.76468,
