"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UDP DL/RX (Mbps)",
"2022-02-17T12:09:17.027 UTC",0,"2022-02-17T12:09:17.027 UTC",0,"2022-02-17T12:09:32.107 UTC",31.81235,
"2022-02-17T12:09:18.033 UTC",0,"2022-02-17T12:09:18.033 UTC",0,"2022-02-17T12:09:33.113 UTC",31.82283,
"2022-02-17T12:09:19.038 UTC",0,"2022-02-17T12:09:19.038 UTC",0,"2022-02-17T12:09:34.120 UTC",31.84725,
"2022-02-17T12:09:20.042 UTC",0,"2022-02-17T12:09:20.042 UTC",0,"2022-02-17T12:09:35.128 UTC",31.8609,
"2022-02-17T12:09:21.047 UTC",0,"2022-02-17T12:09:21.047 UTC",0,"2022-02-17T12:09:36.133 UTC",31.84578,
"2022-02-17T12:09:22.053 UTC",0,"2022-02-17T12:09:22.053 UTC",0,"2022-02-17T12:09:37.139 UTC",31.86419,
"2022-02-17T12:09:23.058 UTC",0,"2022-02-17T12:09:23.058 UTC",0,"2022-02-17T12:09:38.144 UTC",31.85871,
"2022-02-17T12:09:24.063 UTC",0,"2022-02-17T12:09:24.063 UTC",0,"2022-02-17T12:09:39.150 UTC",31.85441,
"2022-02-17T12:09:25.068 UTC",0,"2022-02-17T12:09:25.068 UTC",0,"2022-02-17T12:09:40.155 UTC",31.86138,
"2022-02-17T12:09:26.072 UTC",0,"2022-02-17T12:09:26.072 UTC",0,"2022-02-17T12:09:41.162 UTC",31.87764,
"2022-02-17T12:09:27.077 UTC",0,"2022-02-17T12:09:27.077 UTC",0,"2022-02-17T12:09:42.172 UTC",31.88059,
"2022-02-17T12:09:28.084 UTC",0,"2022-02-17T12:09:28.084 UTC",0,"2022-02-17T12:09:43.180 UTC",31.87583,
"2022-02-17T12:09:29.090 UTC",0,"2022-02-17T12:09:29.090 UTC",0,"2022-02-17T12:09:44.190 UTC",31.85986,
"2022-02-17T12:09:30.096 UTC",0,"2022-02-17T12:09:30.096 UTC",0,"2022-02-17T12:09:45.196 UTC",31.8426,
"2022-02-17T12:09:31.102 UTC",0,"2022-02-17T12:09:31.102 UTC",0,"2022-02-17T12:09:46.203 UTC",31.87621,
"2022-02-17T12:09:32.107 UTC",0,"2022-02-17T12:09:32.107 UTC",31.81235,"2022-02-17T12:09:47.209 UTC",31.96515,
"2022-02-17T12:09:33.113 UTC",0,"2022-02-17T12:09:33.113 UTC",31.82283,"2022-02-17T12:09:48.217 UTC",31.90407,
"2022-02-17T12:09:34.120 UTC",0,"2022-02-17T12:09:34.120 UTC",31.84725,"2022-02-17T12:09:49.223 UTC",31.92008,
"2022-02-17T12:09:35.128 UTC",0,"2022-02-17T12:09:35.128 UTC",31.8609,"2022-02-17T12:09:50.228 UTC",31.91833,
"2022-02-17T12:09:36.133 UTC",0,"2022-02-17T12:09:36.133 UTC",31.84578,"2022-02-17T12:09:51.234 UTC",31.91939,
"2022-02-17T12:09:37.139 UTC",0,"2022-02-17T12:09:37.139 UTC",31.86419,"2022-02-17T12:09:52.242 UTC",31.91919,
"2022-02-17T12:09:38.144 UTC",0,"2022-02-17T12:09:38.144 UTC",31.85871,"2022-02-17T12:09:53.248 UTC",31.89424,
"2022-02-17T12:09:39.150 UTC",0,"2022-02-17T12:09:39.150 UTC",31.85441,"2022-02-17T12:09:54.257 UTC",31.87909,
"2022-02-17T12:09:40.155 UTC",0,"2022-02-17T12:09:40.155 UTC",31.86138,"2022-02-17T12:09:55.390 UTC",31.85282,
"2022-02-17T12:09:41.162 UTC",0,"2022-02-17T12:09:41.162 UTC",31.87764,"2022-02-17T12:09:56.399 UTC",31.85211,
"2022-02-17T12:09:42.172 UTC",0,"2022-02-17T12:09:42.172 UTC",31.88059,"2022-02-17T12:09:57.405 UTC",31.8503,
"2022-02-17T12:09:43.180 UTC",0,"2022-02-17T12:09:43.180 UTC",31.87583,"2022-02-17T12:09:58.412 UTC",31.87276,
"2022-02-17T12:09:44.190 UTC",0,"2022-02-17T12:09:44.190 UTC",31.85986,"2022-02-17T12:09:59.420 UTC",31.8896,
