"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,-43,0,43.20116,
1,-43,1,43.17746,
2,-43,2,43.17746,
3,-43,3,43.20116,
4,-43,4,43.20116,
5,-43,5,43.20116,
6,-43,6,43.20116,
7,-43,7,43.20116,
