"Link Rate for Stations",
"Station","RX Link Rate (Mbps)/Values","Station","TX Link Rate (Mbps)/Values",
0,288.9,0,28.9,
1,288.9,1,43.3,
2,288.9,2,28.9,
3,288.9,3,104,
4,288.9,4,57.8,
5,288.9,5,57.8,
6,288.9,6,12,
7,288.9,7,12,
