"Throughput vs LANforge RSSI",
"RSSI","ch36-TCP-DUT-TX-4NSS-20Mhz-802.11an-AC-MTU/Throughput Mbps",
-88,49.15027,
-87,62.63211,
-87,49.81124,
-87,50.71989,
-86,49.21287,
-85,97.70853,
-85,67.77625,
-85,48.6564,
-85,48.65478,
-84,49.0049,
-81,112.99916,
-78,148.45792,
-72,174.86614,
-68,176.22172,
-64,176.23342,
-58,177.50692,
-53,175.7292,
-47,155.48953,
-41,155.5728,
-39,144.10912,
