"TX Completion vs LANforge RSSI",
"RSSI","ch36-TCP-DUT-TX-4NSS-20Mhz-802.11an-AC-MTU/TX Completion %",
-88,100,
-87,100,
-87,100,
-87,100,
-86,100,
-85,100,
-85,100,
-85,100,
-85,100,
-84,100,
-81,100,
-78,100,
-72,100,
-68,100,
-64,100,
-58,100,
-53,100,
-47,100,
-41,100,
-39,100,
