"Throughput vs Calculated Signal",
"Signal","ch36-TCP-DUT-TX-4NSS-20Mhz-802.11an-AC-MTU/Throughput Mbps",
-105,49.15027,
-100,49.21287,
-95,50.71989,
-90,48.65478,
-85,48.6564,
-80,49.0049,
-75,49.81124,
-70,62.63211,
-65,67.77625,
-60,97.70853,
-55,112.99916,
-50,148.45792,
-45,174.86614,
-40,176.22172,
-35,176.23342,
-30,177.50692,
-25,175.7292,
-20,155.48953,
-15,155.5728,
-10,144.10912,
