"Rx Errors",
Date,"cv_udp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.1-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-B/Errors",
NA,NA,NA,NA,"2021-07-08T12:22:51.141 UTC",0,"2021-07-08T12:22:51.141 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:52.152 UTC",0,"2021-07-08T12:22:52.152 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:53.161 UTC",0,"2021-07-08T12:22:53.161 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:54.171 UTC",0,"2021-07-08T12:22:54.171 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:55.180 UTC",0,"2021-07-08T12:22:55.180 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:56.190 UTC",0,"2021-07-08T12:22:56.190 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:57.199 UTC",0,"2021-07-08T12:22:57.199 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:58.209 UTC",0,"2021-07-08T12:22:58.209 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:22:59.219 UTC",0,"2021-07-08T12:22:59.219 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:00.228 UTC",0,"2021-07-08T12:23:00.228 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:01.238 UTC",0,"2021-07-08T12:23:01.238 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:02.247 UTC",0,"2021-07-08T12:23:02.247 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:03.257 UTC",0,"2021-07-08T12:23:03.257 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:04.267 UTC",0,"2021-07-08T12:23:04.267 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:05.277 UTC",0,"2021-07-08T12:23:05.277 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:06.287 UTC",0,"2021-07-08T12:23:06.287 UTC",0,
NA,NA,NA,NA,"2021-07-08T12:23:07.296 UTC",0,"2021-07-08T12:23:07.296 UTC",0,
