Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Tx-Mode-Rpt	Tx-NSS-Rpt	Tx-MCS	Tx-BW-Rpt	Rx-Mode-Rpt	Rx-NSS-Rpt	Rx-MCS	Rx-BW-Rpt	RSSI dBm	Tx-Phy-Rate	Rx-Phy-Rate
6	2437	WPA2	4	AUTO	20	60	UDP	DUT-TX	HT	3	1	20	3	HT	1	20	-43 [-50, -53, -46, -43]	57.8 MBit/s MCS 25 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	60	UDP	DUT-RX	HT	3	6	20	3	HT	6	20	-34 [-51, -54, -47, -43]	260.0 MBit/s MCS 30 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	142	UDP	DUT-TX	HT	3	6	20	3	HT	6	20	-43 [-51, -53, -47, -43]	260.0 MBit/s MCS 30 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	142	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-50, -53, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	142	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-44 [-51, -54, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	142	TCP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-51, -54, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	256	UDP	DUT-TX	HT	3	7	20	3	HT	7	20	-44 [-51, -54, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	256	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-36 [-50, -52, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	256	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -54, -46, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	256	TCP	DUT-RX	HT	3	6	20	3	HT	6	20	-42 [-51, -54, -46, -42]	260.0 MBit/s MCS 30 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	512	UDP	DUT-TX	HT	3	7	20	3	HT	7	20	-44 [-51, -54, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	512	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-51, -54, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	512	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -53, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	512	TCP	DUT-RX	HT	3	6	20	3	HT	6	20	-42 [-51, -53, -46, -42]	260.0 MBit/s MCS 30 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	1024	UDP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -54, -46, -44]	260.0 MBit/s MCS 31	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	1024	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-51, -55, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	1024	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-41 [-49, -52, -44, -42]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	1024	TCP	DUT-RX	HT	3	7	20	3	HT	7	20	-44 [-51, -55, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	MTU	UDP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -54, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	MTU	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-49, -51, -46, -42]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	MTU	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-42 [-50, -52, -46, -42]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	MTU	TCP	DUT-RX	HT	3	7	20	3	HT	7	20	-44 [-52, -55, -47, -44]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	4000	UDP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -53, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	4000	UDP	DUT-RX	HT	3	7	20	3	HT	7	20	-35 [-50, -52, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	4000	TCP	DUT-TX	HT	3	7	20	3	HT	7	20	-43 [-51, -53, -46, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
6	2437	WPA2	4	AUTO	20	4000	TCP	DUT-RX	HT	3	7	20	3	HT	7	20	-43 [-50, -52, -47, -43]	288.9 MBit/s MCS 31 short GI	288.9 MBit/s MCS 31 short GI
