TimeStamp,Name,EID,load,free_mem,free_swap
1645083108919,ct523c-3011,1.1,158,2137920,4194300
1645083116163,ct523c-3011,1.1,153,2110140,4194300
1645083123365,ct523c-3011,1.1,152,2074268,4194300
1645083130568,ct523c-3011,1.1,149,2069296,4194300
1645083137882,ct523c-3011,1.1,155,2070528,4194300
1645083145083,ct523c-3011,1.1,151,2092184,4194300
1645083152388,ct523c-3011,1.1,159,2085884,4194300
1645083159634,ct523c-3011,1.1,153,2083640,4194300
1645083166864,ct523c-3011,1.1,161,2060836,4194300
1645083174126,ct523c-3011,1.1,163,2105004,4194300
1645083181409,ct523c-3011,1.1,183,2101084,4194300
1645083188679,ct523c-3011,1.1,170,2095064,4194300
1645083196009,ct523c-3011,1.1,163,2093924,4194300
1645083203249,ct523c-3011,1.1,153,2090464,4194300
1645083210587,ct523c-3011,1.1,158,2093748,4194300
1645083217827,ct523c-3011,1.1,149,2088112,4194300
1645083225112,ct523c-3011,1.1,145,2085452,4194300
1645083232422,ct523c-3011,1.1,137,2099488,4194300
1645083239676,ct523c-3011,1.1,135,2100368,4194300
1645083246920,ct523c-3011,1.1,137,2096936,4194300
1645083254164,ct523c-3011,1.1,135,2093892,4194300
