TimeStamp,pps_tx_rate_3s,bps_tx_rate_3s,pps_rx_rate_3s,bps_rx_rate_3s,udp_pps_tx_rate_3s,udp_bps_tx_rate_3s,udp_pps_rx_rate_3s,udp_bps_rx_rate_3s,voip_pps_tx_rate_3s,voip_bps_tx_rate_3s,voip_pps_rx_rate_3s,voip_bps_rx_rate_3s,tcp_bps_tx_rate_3s,tcp_bps_rx_rate_3s,endp_running,udp_running,tcp_running,l4_running,voip_running,voip_rtp_active,udp_drop_pps_3s,voip_drop_pps_3s,tcp_dropped_pkts,tx_pkts,rx_pkts,udp_tx_pkts,udp_rx_pkts,udp_dropped_pkts,voip_dropped_pkts,l4-url-ps-3s,l4-rxbps-3s,l4-txbps-3s,l4-errors,l3-tcp-conn-active,l3-tcp-cx-estab,l3-tcp6-conn-active,l3-tcp6-cx-estab,l3-udp-conn-active,l3-udp-cx-estab,l3-udp6-conn-active,l3-udp6-cx-estab
1645099014379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777041,1758870,1777041,1758870,19589,0,0,0,0,0,0,0,0,0,0,4,0,0
1645099017250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777041,1758870,1777041,1758870,19589,0,0,0,0,0,0,0,0,0,0,4,0,0
1645099020580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777041,1758870,1777041,1758870,19589,0,0,0,0,0,0,0,0,0,0,4,0,0
1645099023646,3226,38023857,2512,29648719,3226,38023857,2512,29648719,0,0,0,0,0,0,13,13,0,0,0,0,180,0,0,1780634,1761949,1780634,1761949,19846,0,0,0,0,0,0,0,0,0,6,10,0,0
1645099026486,4733,55750368,3762,44335011,4733,55750368,3762,44335011,0,0,0,0,0,0,13,13,0,0,0,0,282,0,0,1795556,1773932,1795556,1773932,20729,0,0,0,0,0,0,0,0,0,6,10,0,0
1645099028945,5340,62935265,5451,64257972,5340,62935265,5451,64257972,0,0,0,0,0,0,16,16,0,0,0,0,81,0,0,1806468,1785074,1806468,1785074,20896,0,0,0,0,0,0,0,0,0,8,10,0,0
1645099032491,5409,63706926,5403,63671058,5409,63706926,5403,63671058,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1823759,1802377,1823759,1802377,20896,0,0,0,0,0,0,0,0,0,8,10,0,0
1645099035395,5408,63713403,5405,63699624,5408,63713403,5405,63699624,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1841150,1819851,1841150,1819851,20897,0,0,0,0,0,0,0,0,0,8,10,0,0
1645099038648,5414,63772296,5410,63744360,5414,63772296,5410,63744360,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1856154,1834484,1856154,1834484,20898,0,0,0,0,0,0,0,0,0,8,10,0,0
1645099041543,5411,63744420,5412,63773904,5411,63744420,5412,63773904,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1872471,1850255,1872471,1850255,20898,0,0,0,0,0,0,0,0,0,8,10,0,0
