Port,Type,Value
sta01000,UDP-Download,119.144
sta01000,UDP-Upload,0
sta01000,total,119.144
sta01001,UDP-Download,120.427
sta01001,UDP-Upload,0
sta01001,total,120.427
sta01002,UDP-Download,119.6
sta01002,UDP-Upload,0
sta01002,total,119.6
sta01003,UDP-Download,118.995
sta01003,UDP-Upload,0
sta01003,total,118.995
sta01004,UDP-Download,119.914
sta01004,UDP-Upload,0
sta01004,total,119.914
sta01005,UDP-Download,120.448
sta01005,UDP-Upload,0
sta01005,total,120.448
sta01006,UDP-Download,119.866
sta01006,UDP-Upload,0
sta01006,total,119.866
sta01007,UDP-Download,120.139
sta01007,UDP-Upload,0
sta01007,total,120.139
