Port,TX-Link-Speed,RX-Link-Speed
1.sta01000,6,288.9
1.sta01001,115.6,289
1.sta01002,28.9,288.9
1.sta01003,57.8,288.9
1.sta01004,86.7,288.9
1.sta01005,130,289
1.sta01006,86.7,288.9
1.sta01007,78,288.9
