Port,Type,Value
sta01000,UDP-Download,7.987
sta01000,UDP-Upload,0
sta01000,total,7.987
sta01001,UDP-Download,7.994
sta01001,UDP-Upload,0
sta01001,total,7.994
sta01002,UDP-Download,7.966
sta01002,UDP-Upload,0
sta01002,total,7.966
sta01003,UDP-Download,7.944
sta01003,UDP-Upload,0
sta01003,total,7.944
sta01004,UDP-Download,7.937
sta01004,UDP-Upload,0
sta01004,total,7.937
sta01005,UDP-Download,7.996
sta01005,UDP-Upload,0
sta01005,total,7.996
sta01006,UDP-Download,7.971
sta01006,UDP-Upload,0
sta01006,total,7.971
sta01007,UDP-Download,7.97
sta01007,UDP-Upload,0
sta01007,total,7.97
