Port,Signal-Level,Activity-Percent
1.sta01000,-65,51.095497
1.sta01001,-66,50.302612
1.sta01002,-65,50.302605
1.sta01003,-65,51.0955
1.sta01004,-65,51.0955
1.sta01005,-66,51.0955
1.sta01006,-65,51.0955
1.sta01007,-65,51.095505
