"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",
"2022-02-17T07:22:49.259 UTC",0,"2022-02-17T07:22:49.259 UTC",0,
"2022-02-17T07:22:50.268 UTC",0,"2022-02-17T07:22:50.268 UTC",0,
"2022-02-17T07:22:51.274 UTC",0,"2022-02-17T07:22:51.274 UTC",0,
"2022-02-17T07:22:52.278 UTC",0,"2022-02-17T07:22:52.278 UTC",0,
"2022-02-17T07:22:53.282 UTC",0,"2022-02-17T07:22:53.282 UTC",0,
"2022-02-17T07:22:54.286 UTC",0,"2022-02-17T07:22:54.286 UTC",0,
"2022-02-17T07:22:55.291 UTC",0,"2022-02-17T07:22:55.291 UTC",0,
"2022-02-17T07:22:56.296 UTC",0,"2022-02-17T07:22:56.296 UTC",0,
"2022-02-17T07:22:57.301 UTC",0,"2022-02-17T07:22:57.301 UTC",0,
"2022-02-17T07:22:58.307 UTC",0,"2022-02-17T07:22:58.307 UTC",0,
"2022-02-17T07:22:59.312 UTC",0,"2022-02-17T07:22:59.312 UTC",0,
"2022-02-17T07:23:00.318 UTC",0,"2022-02-17T07:23:00.318 UTC",0,
"2022-02-17T07:23:01.323 UTC",0,"2022-02-17T07:23:01.323 UTC",0,
"2022-02-17T07:23:02.329 UTC",0,"2022-02-17T07:23:02.329 UTC",0,
"2022-02-17T07:23:03.334 UTC",0,"2022-02-17T07:23:03.334 UTC",0,
"2022-02-17T07:23:04.338 UTC",0,"2022-02-17T07:23:04.338 UTC",0,
"2022-02-17T07:23:05.344 UTC",0,"2022-02-17T07:23:05.344 UTC",0,
"2022-02-17T07:23:06.348 UTC",0,"2022-02-17T07:23:06.348 UTC",0,
"2022-02-17T07:23:07.354 UTC",0,"2022-02-17T07:23:07.354 UTC",0,
"2022-02-17T07:23:08.358 UTC",0,"2022-02-17T07:23:08.358 UTC",0,
"2022-02-17T07:23:09.362 UTC",0,"2022-02-17T07:23:09.362 UTC",0,
"2022-02-17T07:23:10.366 UTC",0,"2022-02-17T07:23:10.366 UTC",0,
"2022-02-17T07:23:11.371 UTC",0,"2022-02-17T07:23:11.371 UTC",0,
"2022-02-17T07:23:12.376 UTC",0,"2022-02-17T07:23:12.376 UTC",0,
"2022-02-17T07:23:13.381 UTC",0,"2022-02-17T07:23:13.381 UTC",0,
"2022-02-17T07:23:14.385 UTC",0,"2022-02-17T07:23:14.385 UTC",0,
"2022-02-17T07:23:15.390 UTC",0,"2022-02-17T07:23:15.390 UTC",0,
"2022-02-17T07:23:16.396 UTC",0,"2022-02-17T07:23:16.396 UTC",0,
"2022-02-17T07:23:17.401 UTC",0,"2022-02-17T07:23:17.401 UTC",0,
"2022-02-17T07:23:18.406 UTC",0,"2022-02-17T07:23:18.406 UTC",0,
"2022-02-17T07:23:19.412 UTC",0,"2022-02-17T07:23:19.412 UTC",0,
"2022-02-17T07:23:20.419 UTC",0,"2022-02-17T07:23:20.419 UTC",0,
"2022-02-17T07:23:21.424 UTC",0,"2022-02-17T07:23:21.424 UTC",0,
