"RF Stats for Stations",
"Station","RX Signal Level (RSSI)/Values","Station","Channel Activity (%)/Values",
0,0,0,0.81753,
1,0,1,0.81754,
2,0,2,0.8014,
3,0,3,0.8014,
4,0,4,0.8014,
5,0,5,0.83818,
6,0,6,0.81754,
7,0,7,0.81753,
