"Total Mbps Received vs Number of Stations Active",
"Number of Active Stations","Mbps Download 3s/Total Mbps Received","Number of Active Stations","Mbps Download 60s/Total Mbps Received","Number of Active Stations","Mbps Download Duration/Total Mbps Received",
NA,NA,NA,NA,NA,NA,
