Port,Type,Value
sta01000,UDP-Download,3.975
sta01000,UDP-Upload,0
sta01000,total,3.975
sta01001,UDP-Download,3.998
sta01001,UDP-Upload,0
sta01001,total,3.998
sta01002,UDP-Download,3.983
sta01002,UDP-Upload,0
sta01002,total,3.983
sta01003,UDP-Download,3.986
sta01003,UDP-Upload,0
sta01003,total,3.986
sta01004,UDP-Download,3.988
sta01004,UDP-Upload,0
sta01004,total,3.988
sta01005,UDP-Download,3.993
sta01005,UDP-Upload,0
sta01005,total,3.993
sta01006,UDP-Download,3.982
sta01006,UDP-Upload,0
sta01006,total,3.982
sta01007,UDP-Download,3.977
sta01007,UDP-Upload,0
sta01007,total,3.977
