Port,Type,Value
sta01000,UDP-Download,59.913
sta01000,UDP-Upload,0
sta01000,total,59.913
sta01001,UDP-Download,60.218
sta01001,UDP-Upload,0
sta01001,total,60.218
sta01002,UDP-Download,59.987
sta01002,UDP-Upload,0
sta01002,total,59.987
sta01003,UDP-Download,60.049
sta01003,UDP-Upload,0
sta01003,total,60.049
sta01004,UDP-Download,60.119
sta01004,UDP-Upload,0
sta01004,total,60.119
sta01005,UDP-Download,60.168
sta01005,UDP-Upload,0
sta01005,total,60.168
sta01006,UDP-Download,60.015
sta01006,UDP-Upload,0
sta01006,total,60.015
sta01007,UDP-Download,59.935
sta01007,UDP-Upload,0
sta01007,total,59.935
