Port,TX-Link-Speed,RX-Link-Speed
1.sta01000,28.9,288.9
1.sta01001,43.3,288.9
1.sta01002,28.9,288.9
1.sta01003,104,288.9
1.sta01004,57.8,288.9
1.sta01005,57.8,288.9
1.sta01006,12,288.9
1.sta01007,12,288.9
