"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",
"2022-02-16T12:46:32.391 UTC",0,"2022-02-16T12:46:32.391 UTC",0,
"2022-02-16T12:46:33.395 UTC",0,"2022-02-16T12:46:33.395 UTC",0,
"2022-02-16T12:46:34.400 UTC",0,"2022-02-16T12:46:34.400 UTC",0,
"2022-02-16T12:46:35.405 UTC",0,"2022-02-16T12:46:35.405 UTC",0,
"2022-02-16T12:46:36.410 UTC",0,"2022-02-16T12:46:36.410 UTC",0,
"2022-02-16T12:46:37.417 UTC",0,"2022-02-16T12:46:37.417 UTC",0,
"2022-02-16T12:46:38.421 UTC",0,"2022-02-16T12:46:38.421 UTC",0,
"2022-02-16T12:46:39.426 UTC",0,"2022-02-16T12:46:39.426 UTC",0,
"2022-02-16T12:46:40.431 UTC",0,"2022-02-16T12:46:40.431 UTC",0,
"2022-02-16T12:46:41.436 UTC",0,"2022-02-16T12:46:41.436 UTC",0,
"2022-02-16T12:46:42.441 UTC",0,"2022-02-16T12:46:42.441 UTC",0,
"2022-02-16T12:46:43.445 UTC",0,"2022-02-16T12:46:43.445 UTC",0,
"2022-02-16T12:46:44.450 UTC",0,"2022-02-16T12:46:44.450 UTC",0,
"2022-02-16T12:46:45.455 UTC",0,"2022-02-16T12:46:45.455 UTC",0,
"2022-02-16T12:46:46.460 UTC",0,"2022-02-16T12:46:46.460 UTC",0,
"2022-02-16T12:46:47.465 UTC",0,"2022-02-16T12:46:47.465 UTC",0,
"2022-02-16T12:46:48.470 UTC",0,"2022-02-16T12:46:48.470 UTC",0,
"2022-02-16T12:46:49.475 UTC",0,"2022-02-16T12:46:49.475 UTC",0,
"2022-02-16T12:46:50.480 UTC",0,"2022-02-16T12:46:50.480 UTC",0,
"2022-02-16T12:46:51.485 UTC",0,"2022-02-16T12:46:51.485 UTC",0,
"2022-02-16T12:46:52.491 UTC",0,"2022-02-16T12:46:52.491 UTC",0,
"2022-02-16T12:46:53.496 UTC",0,"2022-02-16T12:46:53.496 UTC",0,
"2022-02-16T12:46:54.501 UTC",0,"2022-02-16T12:46:54.501 UTC",0,
"2022-02-16T12:46:55.506 UTC",0,"2022-02-16T12:46:55.506 UTC",0,
"2022-02-16T12:46:56.511 UTC",0,"2022-02-16T12:46:56.511 UTC",0,
"2022-02-16T12:46:57.516 UTC",0,"2022-02-16T12:46:57.516 UTC",0,
"2022-02-16T12:46:58.521 UTC",0,"2022-02-16T12:46:58.521 UTC",0,
"2022-02-16T12:46:59.526 UTC",0,"2022-02-16T12:46:59.526 UTC",0,
"2022-02-16T12:47:00.531 UTC",0,"2022-02-16T12:47:00.531 UTC",0,
"2022-02-16T12:47:01.535 UTC",0,"2022-02-16T12:47:01.535 UTC",0,
"2022-02-16T12:47:02.540 UTC",0,"2022-02-16T12:47:02.540 UTC",0,
"2022-02-16T12:47:03.545 UTC",0,"2022-02-16T12:47:03.545 UTC",0,
"2022-02-16T12:47:04.550 UTC",0,"2022-02-16T12:47:04.550 UTC",0,
"2022-02-16T12:47:05.555 UTC",0,"2022-02-16T12:47:05.555 UTC",0,
"2022-02-16T12:47:06.560 UTC",0,"2022-02-16T12:47:06.560 UTC",0,
"2022-02-16T12:47:07.568 UTC",0,"2022-02-16T12:47:07.568 UTC",0,
"2022-02-16T12:47:08.575 UTC",0,"2022-02-16T12:47:08.575 UTC",0,
"2022-02-16T12:47:09.580 UTC",0,"2022-02-16T12:47:09.580 UTC",0,
"2022-02-16T12:47:10.585 UTC",0,"2022-02-16T12:47:10.585 UTC",0,
"2022-02-16T12:47:11.589 UTC",0,"2022-02-16T12:47:11.589 UTC",0,
"2022-02-16T12:47:12.594 UTC",0,"2022-02-16T12:47:12.594 UTC",0,
"2022-02-16T12:47:13.600 UTC",0,"2022-02-16T12:47:13.600 UTC",0,
"2022-02-16T12:47:14.604 UTC",0,"2022-02-16T12:47:14.604 UTC",0,
"2022-02-16T12:47:15.609 UTC",0,"2022-02-16T12:47:15.609 UTC",0,
"2022-02-16T12:47:16.614 UTC",0,"2022-02-16T12:47:16.614 UTC",0,
"2022-02-16T12:47:17.619 UTC",0,"2022-02-16T12:47:17.619 UTC",0,
"2022-02-16T12:47:18.624 UTC",0,"2022-02-16T12:47:18.624 UTC",0,
"2022-02-16T12:47:19.629 UTC",0,"2022-02-16T12:47:19.629 UTC",0,
"2022-02-16T12:47:20.633 UTC",0,"2022-02-16T12:47:20.633 UTC",0,
"2022-02-16T12:47:21.638 UTC",0,"2022-02-16T12:47:21.638 UTC",0,
"2022-02-16T12:47:22.643 UTC",0,"2022-02-16T12:47:22.643 UTC",0,
"2022-02-16T12:47:23.649 UTC",0,"2022-02-16T12:47:23.649 UTC",0,
"2022-02-16T12:47:24.654 UTC",0,"2022-02-16T12:47:24.654 UTC",0,
"2022-02-16T12:47:25.659 UTC",0,"2022-02-16T12:47:25.659 UTC",0,
"2022-02-16T12:47:26.664 UTC",0,"2022-02-16T12:47:26.664 UTC",0,
"2022-02-16T12:47:27.673 UTC",0,"2022-02-16T12:47:27.673 UTC",0,
"2022-02-16T12:47:28.678 UTC",0,"2022-02-16T12:47:28.678 UTC",0,
"2022-02-16T12:47:29.684 UTC",0,"2022-02-16T12:47:29.684 UTC",0,
"2022-02-16T12:47:30.688 UTC",0,"2022-02-16T12:47:30.688 UTC",0,
"2022-02-16T12:47:31.693 UTC",0,"2022-02-16T12:47:31.693 UTC",0,
"2022-02-16T12:47:32.700 UTC",0,"2022-02-16T12:47:32.700 UTC",0,
